State,Reward,Agent,Best Length,Worst Length,Average Length
S5,R3,SARSA,46,6,20.783
S5,R1,SARSA,41,5,20.749
S5,R3,Q-Learning,42,4,20.577
S5,R2,Q-Learning,46,4,20.183
S2,R1,SARSA,42,5,19.65
S2,R3,Q-Learning,44,5,19.513
S5,R1,Q-Learning,40,4,19.393
S5,R2,SARSA,40,5,18.98
S2,R3,SARSA,41,4,18.874
S2,R2,Q-Learning,44,6,18.857
S2,R1,Q-Learning,43,5,18.835
S2,R2,SARSA,39,5,17.921
S2,R4,SARSA,34,2,15.496
S5,R4,SARSA,35,2,14.567
S2,R4,Q-Learning,29,2,13.255
S5,R4,Q-Learning,29,2,12.977
S1,R2,Q-Learning,24,1,9.176
S1,R3,SARSA,21,1,8.74
S1,R2,SARSA,21,1,6.802
S1,R1,SARSA,10,1,4.922
S1,R1,Q-Learning,9,1,4.701
S4,R3,SARSA,10,1,3.694
S4,R3,Q-Learning,12,1,3.527
S1,R3,Q-Learning,23,1,3.427
S1,R4,Q-Learning,7,1,3.202
S3,R3,SARSA,9,1,2.695
S3,R3,Q-Learning,9,1,2.685
S4,R2,Q-Learning,12,1,2.497
S4,R2,SARSA,17,1,2.495
S4,R4,SARSA,7,1,2.1
S4,R4,Q-Learning,7,1,1.944
S3,R2,Q-Learning,7,1,1.846
S3,R4,SARSA,6,1,1.785
S3,R2,SARSA,6,1,1.72
S3,R4,Q-Learning,5,1,1.544
S3,R1,Q-Learning,5,1,1.47
S3,R1,SARSA,5,1,1.359
S4,R1,SARSA,4,1,1.314
S4,R1,Q-Learning,6,1,1.281
S1,R4,SARSA,6,1,1.124
